aliquot	feature_1	feature_2	project
TCGA-05-4384-01A-01D-1756-05	-3.43188193752553	3.86962785283845	LUAD
TCGA-05-4390-01A-02D-1756-05	-8.14233191996958	-1.83517364300862	LUAD
TCGA-05-4396-01A-21D-1856-05	-6.80066750812885	2.28561313661954	LUAD
TCGA-05-4405-01A-21D-1856-05	-13.4305950877478	1.74895945284125	LUAD
TCGA-05-4410-01A-21D-1856-05	-6.16136680490473	0.797919678425983	LUAD
TCGA-05-4415-01A-22D-1856-05	-2.19270314033265	0.727450608311104	LUAD
TCGA-05-4417-01A-22D-1856-05	-9.75433374332621	-2.09925404598892	LUAD
TCGA-05-4424-01A-22D-1856-05	-2.53465708678763	1.21907081851679	LUAD
TCGA-05-4425-01A-01D-1756-05	-13.475688664235	2.45811079742222	LUAD
TCGA-05-4427-01A-21D-1856-05	0.086681521407182	3.3650404700145	LUAD
TCGA-05-4433-01A-22D-1856-05	-20.8420214675985	8.10491742851375	LUAD
TCGA-05-5420-01A-01D-1626-05	-0.499382021575629	0.128484147557002	LUAD
TCGA-05-5423-01A-01D-1626-05	-5.43166785773148	2.34398245046353	LUAD
TCGA-05-5425-01A-02D-1626-05	-3.95017083016962	1.75229195301281	LUAD
TCGA-05-5428-01A-01D-1626-05	-8.13633921440727	1.08632858032196	LUAD
TCGA-05-5429-01A-01D-1626-05	-22.2144816693408	6.3726908758449	LUAD
TCGA-05-5715-01A-01D-1626-05	-12.3122451516073	0.558923409787313	LUAD
TCGA-06-0125-01A-01D-A45W-05	36.2800313602856	-34.9579391700473	GBM
TCGA-06-0152-01A-02D-A45W-05	32.7681616196546	-35.2127368920773	GBM
TCGA-06-0171-01A-02D-A45W-05	32.7851214567524	-33.4909924445379	GBM
TCGA-06-0190-01A-01D-A45W-05	31.63470677595	-29.7315871895781	GBM
TCGA-06-0210-01A-01D-A45W-05	34.6592815414693	-36.9475235680453	GBM
TCGA-06-0211-01A-01D-A45W-05	33.4210782882717	-32.311572093048	GBM
TCGA-06-0221-01A-01D-A45W-05	51.3431441750148	-15.6426338849609	GBM
TCGA-06-0650-01A-02D-1697-05	34.708736859166	-27.1552952632003	GBM
TCGA-06-1804-01A-01D-1697-05	36.1856698117626	-35.7118816404944	GBM
TCGA-06-1806-01A-02D-1844-05	32.8605310910754	-27.3879178843278	GBM
TCGA-06-5408-01A-01D-1697-05	35.7318457541956	-36.166588484872	GBM
TCGA-06-5410-01A-01D-1697-05	30.0569563380894	-27.9541284495447	GBM
TCGA-06-5411-01A-01D-1697-05	32.3988782656085	-36.4906319300374	GBM
TCGA-06-5412-01A-01D-1697-05	30.0925979766177	-27.9834258988237	GBM
TCGA-06-5413-01A-01D-1697-05	33.450872448629	-32.2224182501537	GBM
TCGA-06-5414-01A-01D-1481-05	34.7443929528323	-32.4841581798846	GBM
TCGA-06-5415-01A-01D-1481-05	34.8452908684306	-31.8519478558033	GBM
