patient	feature_1	feature_2	project
TCGA-02-0001	-11.2124668831317	-17.8413862670847	GBM
TCGA-02-0003	-20.6936177919676	-27.7727178643849	GBM
TCGA-02-0004	-13.549657921108	-24.2670175960931	GBM
TCGA-02-0006	-17.3675144676302	-24.6838013678366	GBM
TCGA-02-0007	-8.86264931003151	-29.4287542240353	GBM
TCGA-02-0009	-17.1691955437708	-29.2192782100683	GBM
TCGA-02-0010	7.78352869588692	28.7061344736759	GBM
TCGA-02-0011	-18.5466699505432	-19.2888592726484	GBM
TCGA-02-0014	7.77013034476832	-4.48598256550067	GBM
TCGA-02-0015	-13.9661698409032	-28.4171560640035	GBM
TCGA-02-0016	-11.6298479067139	-30.1834073660733	GBM
TCGA-02-0021	-14.5472861278282	-32.5676892527989	GBM
TCGA-02-0023	-12.2247954787631	-32.8748400257412	GBM
TCGA-02-0024	5.42886968779984	-13.1731303986353	GBM
TCGA-02-0025	-11.6952756571177	-15.4964031646786	GBM
TCGA-02-0026	-0.377429772197512	9.42632033404468	GBM
TCGA-02-0027	-12.4396222729223	-31.6042334348859	GBM
TCGA-02-0028	35.9196495795093	-12.6295344142978	GBM
TCGA-02-0033	-12.1558867196028	-22.967352741323	GBM
TCGA-02-0034	-11.2037529124758	-25.5533016383366	GBM
TCGA-02-0037	-16.6975572788578	-30.9336909972574	GBM
TCGA-02-0038	-16.1066397295577	-30.0950746439715	GBM
TCGA-02-0039	-7.72636051852431	-29.4241071747951	GBM
TCGA-02-0043	-16.7078775627275	-31.1238015475775	GBM
TCGA-02-0046	-17.0259228880025	-27.6828483935549	GBM
TCGA-02-0047	7.71688196109874	28.807680168441	GBM
TCGA-02-0048	-9.96516971136037	-27.7516618955317	GBM
TCGA-02-0051	-1.08478303981633	-31.2413186638186	GBM
TCGA-02-0052	-17.7643691301371	-24.8204306642438	GBM
TCGA-02-0054	-6.22320531735304	-21.0901191203079	GBM
TCGA-02-0055	-11.9936858701845	-23.0917874305656	GBM
TCGA-02-0057	-13.5651323598794	-25.1280575581565	GBM
TCGA-02-0058	8.74648599651122	-14.1225629684291	GBM
TCGA-02-0059	-18.471330091559	-23.5935900376944	GBM
TCGA-02-0060	25.5999572104062	5.35682040175877	GBM
TCGA-02-0064	-17.1131865956734	-25.8331153273045	GBM
TCGA-02-0068	-13.7373247115907	-26.0118191198704	GBM
TCGA-02-0069	7.88637835822797	24.0043046763206	GBM
TCGA-02-0070	-15.6130062426665	-28.2196194714905	GBM
TCGA-02-0071	-16.584356351466	-28.2315195170285	GBM
TCGA-02-0074	-8.58136064925043	-25.3238238480063	GBM
TCGA-02-0075	-18.825677291248	-23.3545116015573	GBM
TCGA-02-0079	-17.3540609787025	-23.961774049011	GBM
TCGA-02-0080	-9.40170059417439	-16.8057745699886	GBM
TCGA-02-0083	-18.6286071561105	-33.6532069091311	GBM
TCGA-02-0084	9.3468067846404	27.8850531331071	GBM
TCGA-02-0085	-13.9703170466352	-24.7927948029893	GBM
TCGA-02-0086	-8.69416849114757	-31.2085682831868	GBM
TCGA-02-0087	-9.78163666726621	-13.8092313837377	GBM
TCGA-02-0089	-15.0066640397522	-30.1200927640604	GBM
TCGA-02-0099	-9.03250120487541	-27.3196180590682	GBM
TCGA-02-0102	-17.4870404735288	-28.9982855921472	GBM
TCGA-02-0104	-4.20697045361673	-15.439348926479	GBM
TCGA-02-0106	-18.0426046872913	-26.3603872053124	GBM
TCGA-02-0107	-10.9443725293199	-21.2039701879836	GBM
TCGA-02-0111	-13.5794019017397	-19.0364370997228	GBM
TCGA-02-0113	5.53077928710993	-28.9886832476115	GBM
TCGA-02-0114	7.04482156450418	29.2365870274832	GBM
TCGA-02-0115	-12.7708825635003	-22.7248650027932	GBM
TCGA-02-0116	-14.2048485853655	-32.9521046038872	GBM
TCGA-02-0258	9.20330502415624	-14.1085627169239	GBM
TCGA-02-0260	-17.2820200366637	-29.23419690607	GBM
TCGA-02-0266	-11.7303799320464	-17.1724498621527	GBM
TCGA-02-0269	-16.0583097400125	-29.146155236723	GBM
TCGA-02-0271	-6.25756584382452	-21.936047074744	GBM
TCGA-02-0281	-9.81700425500881	-27.5743517775266	GBM
TCGA-02-0285	-16.4353990833153	-29.7265523680216	GBM
TCGA-02-0289	-16.3118991117116	-30.3498806478036	GBM
TCGA-02-0290	-16.6711589502085	-29.9040848824995	GBM
TCGA-02-0317	-12.8998885974506	-34.1100407570187	GBM
TCGA-02-0321	-13.7298853566113	-24.1554807772429	GBM
TCGA-02-0324	-9.45934149596185	-29.2402636878606	GBM
TCGA-02-0325	-7.99313555864422	-29.5362934897241	GBM
TCGA-02-0326	-10.133995697725	-15.3308364050055	GBM
TCGA-02-0330	-9.7523957315816	-32.0462757240971	GBM
TCGA-02-0332	-9.89319350825555	-25.3907086679307	GBM
TCGA-02-0333	-16.814197561701	-32.1882646340463	GBM
TCGA-02-0337	-14.5917290616846	-25.1069391352287	GBM
TCGA-02-0338	8.01175833495613	17.901465540891	GBM
TCGA-02-0339	18.0506131313623	3.39932821297843	GBM
TCGA-02-0422	-12.0544609313055	-32.9542706895272	GBM
TCGA-02-0430	-12.7695892139278	-33.2947410404698	GBM
TCGA-02-0432	9.33188018526565	-14.2992623988955	GBM
TCGA-02-0439	13.3711138767679	25.1621577072074	GBM
TCGA-02-0440	-18.5364227472407	-25.5628312870196	GBM
TCGA-02-0446	-10.2028058815596	-26.8561219864788	GBM
TCGA-02-0451	-16.3598592560835	-27.9286041395633	GBM
TCGA-02-0456	-9.75389847019953	-25.2244945159206	GBM
TCGA-02-2466	-10.5532896662574	-27.9148784218729	GBM
TCGA-02-2470	-10.9329493949001	-19.808785428254	GBM
TCGA-02-2483	-1.82067366189193	4.14380929910739	GBM
TCGA-02-2485	-18.9258700680978	-29.2067188224612	GBM
TCGA-02-2486	-15.2738099782276	-26.3728651481928	GBM
TCGA-04-1331	-19.6548339530843	3.43208769250324	OV
TCGA-04-1332	-28.1587430810524	3.891073151115	OV
TCGA-04-1335	-33.9687500818673	7.9247494299833	OV
TCGA-04-1336	-17.2176875230543	10.9983722580278	OV
TCGA-04-1337	-2.97441119215698	-18.4675835127457	OV
TCGA-04-1338	-15.5502436437145	8.04849937566967	OV
TCGA-04-1341	-29.2638339118829	11.5306285479297	OV
TCGA-04-1342	-19.7202458849196	9.12885342933322	OV
TCGA-04-1343	-22.0541866096411	0.601948696716124	OV
TCGA-04-1346	-21.986851057991	11.9521265896338	OV
TCGA-04-1347	-25.5261514220619	11.2517813695183	OV
TCGA-04-1348	-30.2034838748824	2.44651007366594	OV
TCGA-04-1349	-0.841726362785257	-1.87687164652718	OV
TCGA-04-1350	-27.7027406700821	1.46872690440536	OV
TCGA-04-1351	-22.3357142574064	-7.11706109390803	OV
TCGA-04-1353	-16.5740733464474	11.5121741715596	OV
TCGA-04-1356	-18.0797624560629	7.24065096788221	OV
TCGA-04-1357	-29.1908210992853	6.07096105302063	OV
TCGA-04-1360	-31.9270727169338	1.25039042286545	OV
TCGA-04-1361	-31.2721311153181	5.82867626954035	OV
TCGA-04-1362	-30.7660987891639	8.84551101712669	OV
TCGA-04-1364	-23.4207022244046	-8.07651695460519	OV
TCGA-04-1365	-11.0252798466727	16.6683745524943	OV
TCGA-04-1367	-31.333355888703	5.23512816869704	OV
TCGA-04-1369	-20.5633763604755	6.54559213523461	OV
TCGA-04-1371	-27.6852632368742	11.8408977437172	OV
TCGA-04-1514	-0.36498951212481	6.70363553996236	OV
TCGA-04-1516	-25.2360181692582	5.77944727110866	OV
TCGA-04-1517	-26.6498345757538	14.1447553156443	OV
