feature_1	feature_2	project
TCGA-OR-A5J1	-27.8773296070743	13.9292300831186	ACC
TCGA-OR-A5J2	-23.8673844789719	13.1640775277068	ACC
TCGA-OR-A5J3	-26.6830648870514	12.6827030679065	ACC
TCGA-OR-A5J5	-27.361350348733	12.7239396507208	ACC
TCGA-OR-A5J6	-25.1484669070092	14.0014395429983	ACC
TCGA-OR-A5J7	-28.3280508052104	13.9252637332628	ACC
TCGA-OR-A5J8	-8.83500613481696	7.30936654291534	ACC
TCGA-OR-A5J9	-28.0966349566479	13.2187045507905	ACC
TCGA-OR-A5JA	-27.3832392615229	13.032607388829	ACC
TCGA-OR-A5JB	12.2987107037801	-13.57724586022	ACC
TCGA-OR-A5JC	-27.0138825186963	12.866075717442	ACC
TCGA-OR-A5JD	-25.8129205417806	13.3446852717842	ACC
TCGA-OR-A5JE	-28.2775310369735	14.015873154007	ACC
TCGA-OR-A5JF	-26.5555576783099	13.1492176661482	ACC
TCGA-OR-A5JG	-27.7201401167691	13.1003099759006	ACC
TCGA-OR-A5JI	-25.7829388384164	13.1057816767534	ACC
TCGA-OR-A5JJ	-27.7364816364437	12.8739312803384	ACC
TCGA-OR-A5JK	-25.5580742584301	12.8053426126845	ACC
TCGA-OR-A5JL	-26.2708729046136	13.0570008584269	ACC
TCGA-OR-A5JM	-28.0586301869755	14.2680411236346	ACC
TCGA-OR-A5JO	-24.9169562657572	14.2863635766973	ACC
TCGA-OR-A5JP	-28.2213632919451	13.9243488699232	ACC
TCGA-OR-A5JQ	-26.0280496089202	13.09469533886	ACC
TCGA-OR-A5JR	-26.010875430539	12.9089280811185	ACC
TCGA-OR-A5JS	-27.7393887886017	13.5526509277815	ACC
TCGA-OR-A5JT	-26.0152681210636	12.5700296423159	ACC
TCGA-OR-A5JV	-25.9508601670536	12.9539174505807	ACC
TCGA-OR-A5JW	-27.3045082552202	12.7280948781686	ACC
TCGA-OR-A5JX	-26.6295515525103	12.7471968888845	ACC
TCGA-OR-A5JY	-27.176942485931	13.6346963058916	ACC
TCGA-OR-A5JZ	-26.1103642301502	11.8976664674069	ACC
TCGA-OR-A5K0	-27.8397966664958	14.4360356381056	ACC
TCGA-OR-A5K1	-26.1467142359646	11.9535635697946	ACC
TCGA-OR-A5K2	-28.3784346985515	14.1512763999023	ACC
TCGA-OR-A5K3	-26.1214937780849	12.0071292966842	ACC
TCGA-OR-A5K4	-26.0675704443336	11.8563062930492	ACC
TCGA-OR-A5K5	-28.3539654843495	14.0672010455233	ACC
TCGA-OR-A5K6	-27.3022755954065	13.8952170563091	ACC
TCGA-OR-A5K8	-26.4970845540184	11.6545289113222	ACC
TCGA-OR-A5K9	-27.9033070759015	14.0735358398358	ACC
TCGA-OR-A5KO	-27.5360890381607	12.6988411218947	ACC
TCGA-OR-A5KT	-25.0961288500806	14.7215554193918	ACC
TCGA-OR-A5KU	-26.4707120602315	11.8328090439326	ACC
TCGA-OR-A5KV	-27.4265014228979	13.8787847185225	ACC
TCGA-OR-A5KW	-26.2523046803731	12.5605238891792	ACC
TCGA-OR-A5KX	-28.1117384964149	14.2787676477742	ACC
TCGA-OR-A5KY	-27.6513090723251	13.2341625038334	ACC
TCGA-OR-A5KZ	-26.1404244554474	11.7369859461977	ACC
TCGA-OR-A5L3	-25.0383427345823	13.6317779534607	ACC
TCGA-OR-A5L4	-26.3892193789663	12.3331366235569	ACC
TCGA-OR-A5L5	-25.8223904783966	13.2791625841876	ACC
TCGA-OR-A5L6	-26.0353971328353	11.4751097856019	ACC
TCGA-OR-A5L8	-27.2982775671955	13.0293072201106	ACC
TCGA-OR-A5L9	-25.6020677445284	11.3218023864565	ACC
TCGA-OR-A5LA	-25.5971921205438	13.1619467688715	ACC
TCGA-OR-A5LB	-27.5238104690662	12.6084995743414	ACC
TCGA-OR-A5LC	-27.1662933143834	14.3435939086547	ACC
TCGA-OR-A5LD	-28.6457070876834	14.2278706193265	ACC
TCGA-OR-A5LE	-27.0627612594958	14.4788789676497	ACC
TCGA-OR-A5LG	-25.0781250980878	13.3047556551783	ACC
TCGA-OR-A5LH	-26.1217590487558	13.0445587827887	ACC
TCGA-OR-A5LJ	-26.7368232667631	13.5119330353116	ACC
TCGA-OR-A5LK	-25.7018310987503	11.8348756490676	ACC
TCGA-OR-A5LL	-25.3490251335122	14.4288997073929	ACC
TCGA-OR-A5LM	-26.7678332200414	12.6699280371217	ACC
TCGA-OR-A5LN	-25.5990939416205	12.9771449527148	ACC
TCGA-OR-A5LO	-27.7782013029996	12.7855933832963	ACC
TCGA-OR-A5LP	-25.8870250044989	13.1495086059661	ACC
TCGA-OR-A5LR	-26.1389519786089	11.8849321770593	ACC
TCGA-OR-A5LS	-27.7581532194923	12.2643780620024	ACC
TCGA-OR-A5LT	-26.1801800634079	11.6239210664046	ACC
TCGA-OU-A5PI	-27.7459718941493	12.2809174787257	ACC
TCGA-P6-A5OG	-6.18573985159679	8.86605336521312	ACC
TCGA-PA-A5YG	-25.7457257675743	13.0711671128384	ACC
TCGA-PK-A5H9	-24.8917770951122	14.2295965642455	ACC
