feature_1	feature_2	feature_3	project
TCGA-OR-A5J1	15.0538729277059	20.7937683801414	-20.1717520674708	ACC
TCGA-OR-A5J2	10.4164874807788	18.4810581509802	-18.9595272950775	ACC
TCGA-OR-A5J3	13.1397121091567	21.0038188774552	-19.4328669705138	ACC
TCGA-OR-A5J5	13.3783240698107	21.5969284678235	-20.8417188165219	ACC
TCGA-OR-A5J6	12.0714597631607	18.7135442288201	-19.7934250656874	ACC
TCGA-OR-A5J7	15.5292023588561	21.1119506551416	-20.4829956120765	ACC
TCGA-OR-A5J8	-0.795571734870522	12.1763228223144	-9.85859754907464	ACC
TCGA-OR-A5J9	14.5108915887945	21.3362606418611	-21.2852347296276	ACC
TCGA-OR-A5JA	13.8829051985028	21.4759197243743	-19.929480287081	ACC
TCGA-OR-A5JB	-17.3503108192976	-10.6677409036926	2.21595038443853	ACC
TCGA-OR-A5JC	13.2084633849124	21.2996013149109	-20.3489121155975	ACC
TCGA-OR-A5JD	12.1428452372839	20.1811449266711	-20.9444126043702	ACC
TCGA-OR-A5JE	15.5574307393671	21.021431510445	-20.3485792386497	ACC
TCGA-OR-A5JF	12.8587524029435	20.6480226229687	-20.6877783157386	ACC
TCGA-OR-A5JG	14.2409899433217	21.6002726927884	-20.5846999404164	ACC
TCGA-OR-A5JI	11.9170453008996	20.41791423877	-20.8001402378787	ACC
TCGA-OR-A5JJ	14.076574126849	21.7911510452189	-20.702891432658	ACC
TCGA-OR-A5JK	11.92049242387	20.1230428981934	-19.4633553663496	ACC
TCGA-OR-A5JL	12.943961618876	20.3474195541763	-19.6690605445184	ACC
TCGA-OR-A5JM	15.4946604775818	20.8783302292462	-19.6839625146494	ACC
TCGA-OR-A5JO	12.0223891676384	18.4027879881395	-19.3615119234735	ACC
TCGA-OR-A5JP	15.435553529834	21.057784321883	-20.3869480941739	ACC
TCGA-OR-A5JQ	12.3827286509089	20.3768489343085	-20.4018186654602	ACC
TCGA-OR-A5JR	12.3245536205785	20.4560485258162	-20.0541187511144	ACC
TCGA-OR-A5JS	14.6305175339503	20.8931730538142	-20.4534627197621	ACC
TCGA-OR-A5JT	12.2788373320799	20.6719896470145	-19.569296325168	ACC
TCGA-OR-A5JV	12.2849657646306	20.3661777145885	-19.9533437435705	ACC
TCGA-OR-A5JW	13.4615585921875	21.6854266115103	-20.4028167353087	ACC
TCGA-OR-A5JX	12.8717025561272	21.1313569974315	-20.2108934511947	ACC
TCGA-OR-A5JY	14.1356471250686	21.1643138630002	-19.426420627795	ACC
TCGA-OR-A5JZ	12.3827136231406	21.1199576979687	-18.5436433140705	ACC
TCGA-OR-A5K0	15.3501162033548	20.8458836926709	-19.2492556392048	ACC
TCGA-OR-A5K1	12.4340499694122	21.1441282100619	-18.626280966629	ACC
TCGA-OR-A5K2	15.7891787339165	21.0299431611185	-20.2623203178151	ACC
TCGA-OR-A5K3	12.1020108638349	21.4008562710695	-19.0749973386897	ACC
TCGA-OR-A5K4	12.3530935579013	21.041366175931	-18.4313232294161	ACC
TCGA-OR-A5K5	15.6619052029924	21.0346277901349	-20.3631106664856	ACC
TCGA-OR-A5K6	14.4219066190765	20.4764981072648	-19.8605415076922	ACC
TCGA-OR-A5K8	12.0818695243885	22.0065173078242	-19.0743913267867	ACC
TCGA-OR-A5K9	15.2062789770255	20.9160785959354	-19.763919772543	ACC
TCGA-OR-A5KO	13.6938211214512	21.8932838067011	-20.3634560767025	ACC
TCGA-OR-A5KT	12.4525822258612	18.8976919930503	-17.9483589310743	ACC
TCGA-OR-A5KU	12.4046998258662	21.7277022414512	-18.9578980547787	ACC
TCGA-OR-A5KV	14.5726675272456	20.4962865849628	-20.071237241749	ACC
TCGA-OR-A5KW	12.7894148690279	20.6885914457809	-19.238077177359	ACC
TCGA-OR-A5KX	15.5596854695031	20.852623226254	-19.6935482796348	ACC
TCGA-OR-A5KY	14.1758180681701	21.2313760913813	-20.9233640682169	ACC
TCGA-OR-A5KZ	12.8002742854653	20.9774399419018	-18.1369671985225	ACC
TCGA-OR-A5L3	11.5036920298539	19.1336846400142	-20.5548201606493	ACC
TCGA-OR-A5L4	12.8315592367232	21.0765146609591	-19.1212727092598	ACC
TCGA-OR-A5L5	12.2614039669347	19.9669983495484	-20.2938358187462	ACC
TCGA-OR-A5L6	11.9084257892157	21.655635847085	-18.3809709567638	ACC
TCGA-OR-A5L8	13.8496162498845	20.7926628450546	-20.7145883911597	ACC
TCGA-OR-A5L9	11.1622845706857	21.9071397349116	-18.7545874489039	ACC
TCGA-OR-A5LA	11.8235266993725	20.1185901491323	-20.5844031424359	ACC
TCGA-OR-A5LB	13.6024908496433	21.9502567501354	-20.5049659354464	ACC
TCGA-OR-A5LC	14.3708347799157	20.440277422917	-18.7709156119049	ACC
TCGA-OR-A5LD	16.085548692505	21.0452319452215	-20.4399316154308	ACC
TCGA-OR-A5LE	14.2152726681339	20.8977709455777	-18.4196670245262	ACC
TCGA-OR-A5LG	11.7539174314262	19.4544655556672	-19.2943314256478	ACC
TCGA-OR-A5LH	12.5258084398079	20.4074499210697	-20.1627356211428	ACC
TCGA-OR-A5LJ	13.4750148695347	20.2643032510364	-20.6424334632837	ACC
TCGA-OR-A5LK	11.4158757714742	21.6394424417567	-19.396657182361	ACC
TCGA-OR-A5LL	12.5114008023032	19.037142256764	-18.5053052312573	ACC
TCGA-OR-A5LM	12.7605215689851	21.5082242893422	-20.1626645274347	ACC
TCGA-OR-A5LN	11.7228586711217	20.3475489897996	-20.6143707459551	ACC
TCGA-OR-A5LO	13.9128154113037	21.9084383608506	-20.8331402461739	ACC
TCGA-OR-A5LP	12.2818952773623	20.1531416326063	-20.2528102144052	ACC
TCGA-OR-A5LR	12.3119301811849	21.2187169478275	-18.6162420766146	ACC
TCGA-OR-A5LS	13.5737006793933	22.5285810811803	-20.5764806282337	ACC
TCGA-OR-A5LT	12.1069867896891	21.5101997040199	-18.4276069213705	ACC
TCGA-OU-A5PI	13.5686566998022	22.4985236412111	-20.5840249802595	ACC
TCGA-P6-A5OG	0.679813414142418	10.0458175756262	-4.66059118936676	ACC
TCGA-PA-A5YG	12.1408129980657	20.1262201151004	-20.0485965921732	ACC
TCGA-PK-A5H9	11.9882743174118	18.3927468954256	-19.4000099317955	ACC
TCGA-PK-A5HA	13.161669107788	20.9141927903417	-21.4606128004489	ACC
TCGA-PK-A5HB	14.7173400592964	21.6380610183317	-20.4471935491623	ACC
TCGA-2F-A9KO	-19.2321248648127	-0.55421383242183	-1.91010625133678	BLCA
TCGA-2F-A9KP	-23.6256730333816	-0.831645360391173	-5.83293709228855	BLCA
TCGA-2F-A9KQ	-25.0131122457517	0.223844738013962	-6.31397629724397	BLCA
TCGA-2F-A9KR	-24.1897024061445	3.53476921395595	-6.81206390807433	BLCA
TCGA-2F-A9KT	-20.6895907710154	-0.150500207995781	-3.37658313364979	BLCA
TCGA-2F-A9KW	-22.9411091846115	-0.616292541999668	-0.111560226753889	BLCA
TCGA-4Z-AA7M	-22.6010409728841	0.240416948926404	-3.64485343945982	BLCA
TCGA-4Z-AA7N	-2.09514344062112	9.96939072671438	4.60769381384618	BLCA
TCGA-4Z-AA7O	-24.9013216875991	1.51297345513063	-5.46014215923552	BLCA
TCGA-4Z-AA7Q	-18.9336725884438	-0.629195289893757	-1.88487415101312	BLCA
TCGA-4Z-AA7R	-23.7468887407164	-0.764728627845056	-4.46902505708915	BLCA
TCGA-4Z-AA7S	-22.9620046870548	3.0035942033732	-6.18367841493454	BLCA
TCGA-4Z-AA7W	-17.3779258205625	-6.72969558630552	-0.117800972461332	BLCA
TCGA-4Z-AA7Y	-24.6071177193994	1.97059370316528	-6.13587610481129	BLCA
TCGA-4Z-AA80	-23.0940172892426	0.00990656713050807	-3.48525652166945	BLCA
TCGA-4Z-AA81	-17.4299749910789	-2.6700630782217	-1.21774072875269	BLCA
TCGA-4Z-AA82	-13.5803734328606	-4.86266244785812	0.980008776813024	BLCA
TCGA-4Z-AA83	-23.8303218502197	2.5515961620569	-5.9797571466601	BLCA
TCGA-4Z-AA84	-18.1076560274268	-3.24781783193678	-2.61392510741071	BLCA
TCGA-4Z-AA86	-15.2367629218057	-4.72733279664202	-3.77597485542513	BLCA
TCGA-4Z-AA87	-21.7279837754485	-1.00134854215117	-6.96788456903535	BLCA
TCGA-4Z-AA89	-24.354772291666	2.3882060998175	-6.44230786829168	BLCA
TCGA-5N-A9KI	-18.5682030620626	1.58733671482149	-5.98842981554435	BLCA
TCGA-5N-A9KM	-21.0065845475437	1.23203839115312	-5.390942379931	BLCA
TCGA-BL-A0C8	-11.6597356904331	-40.5650355171519	17.0414336545344	BLCA
TCGA-BL-A13I	-11.4266094767393	-39.9194740318767	16.5806832668664	BLCA
TCGA-BL-A13J	-11.7699342737001	-40.3642549592194	16.9012539503614	BLCA
TCGA-BL-A3JM	-23.2996459098877	12.0376720036328	4.84307221388152	BLCA
TCGA-BT-A0S7	-13.6002153018213	-2.64672634256827	-0.490641190252646	BLCA
TCGA-BT-A0YX	-12.932155923405	-7.75969237471374	-0.854332764594747	BLCA
TCGA-BT-A20J	-15.9596956200005	-6.97191985600847	1.56627535471771	BLCA
TCGA-BT-A20N	-20.2524023253175	-2.39343470214042	-0.744213686734603	BLCA
TCGA-BT-A20O	-0.15096586116574	8.24266760763946	-0.343085564059384	BLCA
TCGA-BT-A20P	-19.5696745542264	3.83369206710677	-3.13501969092594	BLCA
TCGA-BT-A20Q	-16.9451066886128	2.61364508456644	-5.64190843129086	BLCA
TCGA-BT-A20R	-18.1637332772589	0.582088456440122	-7.62072677489118	BLCA
TCGA-BT-A20T	-19.4104038905703	3.43545402962715	-3.42955589579691	BLCA
TCGA-BT-A20U	-17.9688469889691	-7.7422518212667	3.05146974783603	BLCA
TCGA-BT-A20V	-21.442929375174	-8.25918799498647	1.22310056804828	BLCA
TCGA-BT-A20W	-20.2543276310582	0.538067081004953	-1.79878402992736	BLCA
TCGA-BT-A20X	-11.263466677101	-11.3772040485156	-3.8613853023143	BLCA
TCGA-BT-A2LA	-23.6381991235026	20.6028844652282	-0.0500298921872305	BLCA
TCGA-BT-A2LB	-18.4073613828404	1.37835548675413	-7.04806289224818	BLCA
TCGA-BT-A2LD	-18.0621747585308	-0.61491245677995	-5.56399238395697	BLCA
TCGA-BT-A3PH	-23.1417796463295	-1.12133910583938	-7.75977615149395	BLCA
TCGA-BT-A3PJ	-17.5013494944758	-5.47358553163118	-4.16188362299588	BLCA
TCGA-BT-A3PK	3.00382544668602	-9.32723873703014	2.06959060862143	BLCA
TCGA-BT-A42C	-21.1504523875893	2.23962411010073	-6.89122333765204	BLCA
TCGA-BT-A42E	-16.4603962913781	-8.40897579244183	-4.38839387377422	BLCA
TCGA-BT-A42F	-16.7227859620425	-9.44346619110842	-1.24242683753932	BLCA
TCGA-C4-A0EZ	-23.6141113285963	16.1038395381254	6.11549806918073	BLCA
TCGA-C4-A0F0	-15.2859009581047	-7.13801279933931	-1.72005773448622	BLCA
TCGA-C4-A0F1	-12.276859786544	-9.90007686931387	-3.82585359059307	BLCA
TCGA-C4-A0F6	-24.4327242688393	1.24680300479378	-3.77278042884457	BLCA
TCGA-C4-A0F7	-23.1933865328792	-22.2088756903202	3.85250182151524	BLCA
TCGA-CF-A1HR	-18.7848303781039	1.02014830326682	-3.22683366064913	BLCA
TCGA-CF-A1HS	-16.893654324598	-9.79638299262495	1.85046236724475	BLCA
TCGA-CF-A27C	-24.2826494802998	1.77322678560955	-8.04204124891967	BLCA
TCGA-CF-A3MF	-25.819964460427	1.03278023160158	-8.40514533874377	BLCA
TCGA-CF-A3MG	-25.3363505113946	1.57298658330163	-5.8573597236181	BLCA
TCGA-CF-A3MH	-24.7979039355769	1.70886817482838	-8.23365824236439	BLCA
TCGA-CF-A3MI	-25.5798794300973	0.9756022147366	-8.06399045973005	BLCA
TCGA-CF-A47S	-23.6539640280707	4.47854644510729	-9.28670881988632	BLCA
TCGA-CF-A47T	-25.0653079606518	0.780356931165365	-7.5249365768966	BLCA
TCGA-CF-A47V	-22.6971502957599	3.80381557411064	-8.03500918216835	BLCA
TCGA-CF-A47W	-23.8936161272634	4.56355992506774	-9.03298690071459	BLCA
TCGA-CF-A47X	-23.6544412669469	1.38327430285777	-9.03541649459834	BLCA
TCGA-CF-A47Y	-23.8446902577597	4.5370732619075	-9.05897216936992	BLCA
TCGA-CF-A5U8	-24.9426176496996	1.91206487734092	-7.97453035252841	BLCA
TCGA-CF-A5UA	-18.6920263026674	4.12761869202506	-3.72622968359207	BLCA
TCGA-CF-A7I0	-24.8794612305919	0.448498090065966	-6.44329371656837	BLCA
TCGA-CF-A8HX	-25.2665424619453	0.5154995463549	-7.66210557835847	BLCA
TCGA-CF-A8HY	-24.5596303569561	3.40341538564445	-7.09276084531342	BLCA
TCGA-CF-A9FF	-24.4114562989639	1.61210822427746	-5.62896010899439	BLCA
TCGA-CF-A9FH	-24.2492455438638	2.77634277237029	-6.48479576309399	BLCA
TCGA-CF-A9FL	-24.7022451095916	0.730568239447519	-6.27766498251482	BLCA
TCGA-CF-A9FM	-23.8795329851337	4.29898549577709	-8.49130105939395	BLCA
TCGA-CU-A0YN	-15.3920429329677	-5.24170761299874	-3.96196496202711	BLCA
TCGA-CU-A0YO	-15.8759561232091	2.45052190979859	-5.08526235992024	BLCA
TCGA-CU-A0YR	-16.7702133099153	-9.30225395661732	2.38963135610043	BLCA
TCGA-CU-A3KJ	-11.7938454409336	-10.3793344627344	-5.84726381182595	BLCA
